instance,config,run,score,duration_sec,timed_out
australia_iptv,C1_Baseline,1,2540,230.119,False
australia_iptv,C1_Baseline,2,2474,234.723,False
australia_iptv,C2_Exploitation,1,2535,227.549,False
australia_iptv,C2_Exploitation,2,2578,177.89,False
australia_iptv,C3_Exploration,1,2551,175.162,False
australia_iptv,C3_Exploration,2,2495,175.25,False
australia_iptv,C4_Balanced,1,2438,130.263,False
australia_iptv,C4_Balanced,2,2461,685.692,False
australia_iptv,C5_WidePopulation,1,2486,115.506,False
australia_iptv,C5_WidePopulation,2,2489,112.39,False
australia_iptv,C5_WidePopulation,3,2557,110.399,False
canada_pw,C1_Baseline,1,2532,168.883,False
canada_pw,C1_Baseline,2,2631,161.411,False
canada_pw,C2_Exploitation,1,2520,156.127,False
canada_pw,C2_Exploitation,2,2559,152.61,False
canada_pw,C3_Exploration,1,2391,182.559,False
canada_pw,C3_Exploration,2,2498,190.069,False
canada_pw,C4_Balanced,1,2457,139.904,False
canada_pw,C4_Balanced,2,2464,145.822,False
canada_pw,C4_Balanced,3,2458,146.713,False
canada_pw,C5_WidePopulation,1,2542,142.547,False
canada_pw,C5_WidePopulation,2,2464,140.274,False
canada_pw,C5_WidePopulation,3,2551,147.137,False
croatia_tv_input,C1_Baseline,1,1703,2.371,False
croatia_tv_input,C1_Baseline,2,1591,2.7,False
croatia_tv_input,C1_Baseline,3,1651,3.229,False
croatia_tv_input,C1_Baseline,4,1645,2.662,False
croatia_tv_input,C1_Baseline,5,1593,2.659,False
croatia_tv_input,C1_Baseline,6,1695,3.164,False
croatia_tv_input,C1_Baseline,7,1600,2.494,False
croatia_tv_input,C1_Baseline,8,1643,2.542,False
croatia_tv_input,C1_Baseline,9,1649,2.52,False
croatia_tv_input,C1_Baseline,10,1618,2.389,False
croatia_tv_input,C2_Exploitation,1,1486,2.403,False
croatia_tv_input,C2_Exploitation,2,1595,2.548,False
croatia_tv_input,C2_Exploitation,3,1603,2.304,False
croatia_tv_input,C2_Exploitation,4,1482,2.509,False
croatia_tv_input,C2_Exploitation,5,1595,2.578,False
croatia_tv_input,C2_Exploitation,6,1664,2.632,False
croatia_tv_input,C2_Exploitation,7,1705,2.538,False
croatia_tv_input,C2_Exploitation,8,1626,2.738,False
croatia_tv_input,C2_Exploitation,9,1652,2.589,False
croatia_tv_input,C2_Exploitation,10,1596,2.371,False
croatia_tv_input,C3_Exploration,1,1692,2.981,False
croatia_tv_input,C3_Exploration,2,1800,3.268,False
croatia_tv_input,C3_Exploration,3,1861,4.402,False
croatia_tv_input,C3_Exploration,4,1642,3.657,False
croatia_tv_input,C3_Exploration,5,1809,3.084,False
croatia_tv_input,C3_Exploration,6,1755,4.445,False
croatia_tv_input,C3_Exploration,7,1818,3.689,False
croatia_tv_input,C3_Exploration,8,1740,2.861,False
croatia_tv_input,C3_Exploration,9,1867,3.033,False
croatia_tv_input,C3_Exploration,10,1699,3.054,False
croatia_tv_input,C4_Balanced,1,1686,2.249,False
croatia_tv_input,C4_Balanced,2,1661,2.132,False
croatia_tv_input,C4_Balanced,3,1740,2.217,False
croatia_tv_input,C4_Balanced,4,1819,2.206,False
croatia_tv_input,C4_Balanced,5,1651,2.225,False
croatia_tv_input,C4_Balanced,6,1681,2.343,False
croatia_tv_input,C4_Balanced,7,1649,2.46,False
croatia_tv_input,C4_Balanced,8,1643,2.28,False
croatia_tv_input,C4_Balanced,9,1680,2.426,False
croatia_tv_input,C4_Balanced,10,1598,2.238,False
croatia_tv_input,C5_WidePopulation,1,1761,1.982,False
croatia_tv_input,C5_WidePopulation,2,1700,1.934,False
croatia_tv_input,C5_WidePopulation,3,1678,1.731,False
croatia_tv_input,C5_WidePopulation,4,1750,2.127,False
croatia_tv_input,C5_WidePopulation,5,1741,1.98,False
croatia_tv_input,C5_WidePopulation,6,1795,1.979,False
croatia_tv_input,C5_WidePopulation,7,1649,1.946,False
croatia_tv_input,C5_WidePopulation,8,1635,1.992,False
croatia_tv_input,C5_WidePopulation,9,1974,2.856,False
croatia_tv_input,C5_WidePopulation,10,1829,2.796,False
france_iptv,C1_Baseline,1,2013,58.393,False
france_iptv,C1_Baseline,2,1943,59.705,False
france_iptv,C1_Baseline,3,2029,59.024,False
france_iptv,C1_Baseline,4,1913,58.392,False
france_iptv,C1_Baseline,5,2012,59.888,False
france_iptv,C1_Baseline,6,1966,56.433,False
france_iptv,C2_Exploitation,1,2047,51.097,False
france_iptv,C2_Exploitation,2,1968,55.045,False
france_iptv,C2_Exploitation,3,1918,56.355,False
france_iptv,C2_Exploitation,4,1944,54.133,False
france_iptv,C2_Exploitation,5,1975,54.853,False
france_iptv,C2_Exploitation,6,1864,51.542,False
france_iptv,C3_Exploration,1,2069,61.728,False
france_iptv,C3_Exploration,2,1994,61.412,False
france_iptv,C3_Exploration,3,2027,64.768,False
france_iptv,C3_Exploration,4,1913,63.978,False
france_iptv,C3_Exploration,5,2054,64.934,False
france_iptv,C4_Balanced,1,2008,46.325,False
france_iptv,C4_Balanced,2,1981,48.823,False
france_iptv,C4_Balanced,3,1941,45.716,False
france_iptv,C4_Balanced,4,2028,48.026,False
