instance,config,best,avg,worst,runs_completed,runs_timed_out,total_time_sec
australia_iptv,C1_Baseline,2540,2507.0,2474,2,0,464.84
australia_iptv,C2_Exploitation,2578,2556.5,2535,2,0,405.44
australia_iptv,C3_Exploration,2551,2523.0,2495,2,0,350.41
australia_iptv,C4_Balanced,2461,2449.5,2438,2,0,815.95
australia_iptv,C5_WidePopulation,2557,2510.7,2486,3,0,338.29
canada_pw,C1_Baseline,2631,2581.5,2532,2,0,330.29
canada_pw,C2_Exploitation,2559,2539.5,2520,2,0,308.74
canada_pw,C3_Exploration,2498,2444.5,2391,2,0,372.63
canada_pw,C4_Balanced,2464,2459.7,2457,3,0,432.44
canada_pw,C5_WidePopulation,2551,2519.0,2464,3,0,429.96
croatia_tv_input,C1_Baseline,1703,1638.8,1591,10,0,26.73
croatia_tv_input,C2_Exploitation,1705,1600.4,1482,10,0,25.21
croatia_tv_input,C3_Exploration,1867,1768.3,1642,10,0,34.48
croatia_tv_input,C4_Balanced,1819,1680.8,1598,10,0,22.78
croatia_tv_input,C5_WidePopulation,1974,1751.2,1635,10,0,21.32
france_iptv,C1_Baseline,2029,1979.3,1913,6,0,351.84
france_iptv,C2_Exploitation,2047,1952.7,1864,6,0,323.02
france_iptv,C3_Exploration,2069,2011.4,1913,5,0,316.82
france_iptv,C4_Balanced,2044,1985.4,1892,7,0,329.35
france_iptv,C5_WidePopulation,2094,2004.0,1940,5,0,2429.74
germany_tv_input,C1_Baseline,932,919.9,912,10,0,10.83
germany_tv_input,C2_Exploitation,922,915.3,902,10,0,10.5
germany_tv_input,C3_Exploration,932,925.6,917,10,0,12.22
germany_tv_input,C4_Balanced,923,918.8,900,10,0,10.43
germany_tv_input,C5_WidePopulation,932,918.6,910,10,0,8.06
kosovo_tv_input,C1_Baseline,1467,1425.8,1384,10,0,31.61
kosovo_tv_input,C2_Exploitation,1387,1355.1,1293,10,0,32.41
kosovo_tv_input,C3_Exploration,1505,1437.9,1397,10,0,38.25
kosovo_tv_input,C4_Balanced,1462,1423.2,1384,10,0,30.09
kosovo_tv_input,C5_WidePopulation,1490,1439.1,1386,10,0,24.02
netherlands_tv_input,C1_Baseline,1555,1496.6,1403,10,0,31.96
netherlands_tv_input,C2_Exploitation,1559,1430.3,1308,10,0,31.42
netherlands_tv_input,C3_Exploration,1598,1501.6,1449,10,0,40.32
netherlands_tv_input,C4_Balanced,1664,1495.2,1417,10,0,29.7
netherlands_tv_input,C5_WidePopulation,1531,1490.1,1424,10,0,25.57
singapore_pw,C1_Baseline,2516,2433.5,2371,4,0,349.85
singapore_pw,C2_Exploitation,2596,2475.0,2320,4,0,304.85
singapore_pw,C3_Exploration,2545,2458.2,2364,4,0,362.75
singapore_pw,C4_Balanced,2642,2422.6,2299,5,0,330.71
singapore_pw,C5_WidePopulation,2442,2442.0,2442,1,0,599.89
spain_iptv,C1_Baseline,2172,2096.7,1987,6,0,304.06
spain_iptv,C2_Exploitation,2361,2103.3,2012,7,0,329.03
spain_iptv,C3_Exploration,2112,2068.0,2006,6,0,305.1
spain_iptv,C4_Balanced,2199,2060.7,1935,9,0,328.68
spain_iptv,C5_WidePopulation,2252,2060.0,1965,4,0,765.16
toy,C1_Baseline,380,380.0,380,10,0,7.17
toy,C2_Exploitation,380,380.0,380,10,0,6.63
toy,C3_Exploration,380,380.0,380,10,0,8.7
toy,C4_Balanced,380,380.0,380,10,0,6.38
toy,C5_WidePopulation,380,380.0,380,10,0,5.36
uk_iptv,C1_Baseline,-1,-1.0,-1,0,1,0.0
uk_iptv,C2_Exploitation,-1,-1.0,-1,0,1,0.0
uk_iptv,C3_Exploration,-1,-1.0,-1,0,1,0.0
uk_iptv,C4_Balanced,2529,2484.5,2440,2,0,477.32
uk_iptv,C5_WidePopulation,2502,2502.0,2502,1,0,1938.78
uk_tv_input,C1_Baseline,1538,1431.2,1341,10,0,252.98
uk_tv_input,C2_Exploitation,1563,1369.3,1247,10,0,278.39
uk_tv_input,C3_Exploration,1521,1459.8,1414,10,0,317.72
uk_tv_input,C4_Balanced,1540,1466.4,1377,10,0,193.67
uk_tv_input,C5_WidePopulation,1533,1436.9,1348,10,0,242.26
usa_tv_input,C1_Baseline,1921,1921.0,1921,1,1,287.72
usa_tv_input,C2_Exploitation,1711,1711.0,1711,2,0,566.76
usa_tv_input,C3_Exploration,2013,1945.0,1877,2,0,465.8
usa_tv_input,C4_Balanced,2068,1948.0,1828,2,0,319.73
usa_tv_input,C5_WidePopulation,1830,1781.7,1716,3,0,423.22
